Run_Name,Ratio,Time_File,Wavelength_File,Time_MSE,Wavelength_MSE,Region_AUC_Error,Tau_Avg_Error,Combined_Score,FL,ISC,coupling,CTenergy,model
Run_FL16_ISC2.5_coupling_50_CTenergy_14580_model_12,Monomer_50pct_CT_50pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_50pct_CT_50pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_50pct_CT_50pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.01611409688383971,0.0025887210131070562,0.09573363600553929,0.4447069070009119,0.2961776411928958,16,2.5,50,14580,12
Run_FL16_ISC2.7_coupling_30_CTenergy_14580_model_12,Monomer_30pct_CT_70pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_30pct_CT_70pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_30pct_CT_70pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.02714578919013568,0.0025548075248654828,0.025845334662526004,0.5343733846047607,0.298682834147846,16,2.7,30,14580,12
Run_FL16_ISC3_coupling_300_CTenergy_14580_model_12,Monomer_80pct_CT_20pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_80pct_CT_20pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_80pct_CT_20pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.004056332580852254,0.002562380555036373,0.2632398661953182,0.19789595931471224,0.2987863047498497,16,3.0,300,14580,12
Run_FL16_ISC3_coupling_20_CTenergy_14580_model_12,Monomer_90pct_CT_10pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_90pct_CT_10pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_90pct_CT_10pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.004196651161200339,0.0029351289321553967,0.6625588163619056,0.20084601962349288,0.3029260487030454,16,3.0,20,14580,12
Run_FL16_ISC3_coupling_10_CTenergy_14580_model_12,Monomer_90pct_CT_10pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_90pct_CT_10pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_90pct_CT_10pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.004204726973937088,0.002946697072827601,0.6797016313192293,0.20250104651188916,0.3030780724233907,16,3.0,10,14580,12
Run_FL16_ISC2.5_coupling_150_CTenergy_14580_model_12,Monomer_80pct_CT_20pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_80pct_CT_20pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_80pct_CT_20pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.008893943709179633,0.0026426928487295375,0.16254806665327023,0.32041905500014695,0.30391501736559984,16,2.5,150,14580,12
Run_FL16_ISC2.8_coupling_300_CTenergy_14580_model_12,Monomer_80pct_CT_20pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_80pct_CT_20pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_80pct_CT_20pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.005518771951709467,0.0025620832117471105,0.260449035447208,0.24367504654076763,0.3078047348494588,16,2.8,300,14580,12
Run_FL16_ISC2_coupling_90_CTenergy_14580_model_12,Monomer_60pct_CT_40pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_60pct_CT_40pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_40pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.0214383554222505,0.0025280240556943717,0.08446460931258144,0.4937695669314444,0.31132472274815015,16,2.0,90,14580,12
Run_FL16_ISC2_coupling_250_CTenergy_14580_model_12,Monomer_80pct_CT_20pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_80pct_CT_20pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_80pct_CT_20pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.01749045518439596,0.002578697152771659,0.1105110897377408,0.43685511021701956,0.31140077154853835,16,2.0,250,14580,12
Run_FL16_ISC2.8_coupling_20_CTenergy_14580_model_12,Monomer_90pct_CT_10pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_90pct_CT_10pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_90pct_CT_10pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.00567041478026648,0.0029346356810202234,0.6626764071849142,0.24617939025007987,0.31230551957885455,16,2.8,20,14580,12
