Run_Name,Ratio,Time_File,Wavelength_File,Time_MSE,Wavelength_MSE,Region_AUC_Error,Tau_Avg_Error,Combined_Score,FL,ISC,RP,CT,energy
Run_FL16_ISC5_RP3_coupling_CT_20_RP1_80_CT_energy_14580,Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct,time_resolved_Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct_start_time_0.0.npy,0.00014825684545877947,0.002798416662439467,0.47744702383593574,0.001197361502023261,0.14030453792503184,16,5,1,20,14580
Run_FL16_ISC5_RP1_coupling_CT_150_RP1_250_CT_energy_14580,Monomer_40pct_CT_50pct_RP1_0pct_CTRP1_10pct,time_resolved_Monomer_40pct_CT_50pct_RP1_0pct_CTRP1_10pct_start_time_0.0.npy,wavelength_resolved_Monomer_40pct_CT_50pct_RP1_0pct_CTRP1_10pct_start_time_0.0.npy,9.304969650193525e-05,0.0028497983768292186,1.5687951916492944,0.0025396367084345455,0.14068115996687372,16,5,1,150,14580
Run_FL16_ISC5_RP0.6_coupling_CT_40_RP1_80_CT_energy_14580,Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct,time_resolved_Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct_start_time_0.0.npy,0.00010962809687423865,0.002749085332900257,0.39531626355389016,0.0025863122473066048,0.14086945523796549,16,5,1,40,14580
Run_FL16_ISC5_RP1_coupling_CT_40_RP1_150_CT_energy_14580,Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct,time_resolved_Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct_start_time_0.0.npy,0.00013393960502360312,0.0027151481952278514,0.3321527511934814,0.0022268548543842846,0.14093675966583394,16,5,1,40,14580
Run_FL16_ISC5_RP1_coupling_CT_40_RP1_300_CT_energy_14580,Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct,time_resolved_Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct_start_time_0.0.npy,0.00011750219124733023,0.002685683781258563,0.25662918385838074,0.0026568287580058547,0.140946595820518,16,5,1,40,14580
Run_FL16_ISC5_RP0.6_coupling_CT_20_RP1_80_CT_energy_14580,Monomer_70pct_CT_0pct_RP1_0pct_CTRP1_30pct,time_resolved_Monomer_70pct_CT_0pct_RP1_0pct_CTRP1_30pct_start_time_0.0.npy,wavelength_resolved_Monomer_70pct_CT_0pct_RP1_0pct_CTRP1_30pct_start_time_0.0.npy,0.00018856087480698664,0.002883792041461577,0.5939586856088535,0.0007206353140206406,0.14095575502037963,16,5,1,20,14580
Run_FL16_ISC5_RP0.8_coupling_CT_40_RP1_100_CT_energy_14580,Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct,time_resolved_Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct_start_time_0.0.npy,0.00011867765766335601,0.002737143286312444,0.3746991573165096,0.0025833191546057654,0.1410681552586958,16,5,1,40,14580
Run_FL16_ISC5_RP0.2_coupling_CT_20_RP1_200_CT_energy_14580,Monomer_70pct_CT_10pct_RP1_0pct_CTRP1_20pct,time_resolved_Monomer_70pct_CT_10pct_RP1_0pct_CTRP1_20pct_start_time_0.0.npy,wavelength_resolved_Monomer_70pct_CT_10pct_RP1_0pct_CTRP1_20pct_start_time_0.0.npy,5.435946837434127e-05,0.002891421304706674,0.6019013982371907,0.003934358183747849,0.1412469440872879,16,5,1,20,14580
Run_FL16_ISC5_RP0.4_coupling_CT_40_RP1_150_CT_energy_14580,Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct,time_resolved_Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct_start_time_0.0.npy,7.322061452424655e-05,0.0027431485930636025,0.38383247850387286,0.003919239714951772,0.1414216579005519,16,5,1,40,14580
Run_FL16_ISC5_RP0.2_coupling_CT_20_RP1_40_CT_energy_14580,Monomer_70pct_CT_0pct_RP1_0pct_CTRP1_30pct,time_resolved_Monomer_70pct_CT_0pct_RP1_0pct_CTRP1_30pct_start_time_0.0.npy,wavelength_resolved_Monomer_70pct_CT_0pct_RP1_0pct_CTRP1_30pct_start_time_0.0.npy,8.696708548749127e-05,0.0029433787749465565,0.67289265451026,0.0030986427738522995,0.14150858580764938,16,5,1,20,14580
Run_FL16_ISC5_RP0.2_coupling_CT_40_RP1_40_CT_energy_14580,Monomer_70pct_CT_0pct_RP1_0pct_CTRP1_30pct,time_resolved_Monomer_70pct_CT_0pct_RP1_0pct_CTRP1_30pct_start_time_0.0.npy,wavelength_resolved_Monomer_70pct_CT_0pct_RP1_0pct_CTRP1_30pct_start_time_0.0.npy,8.696708548749127e-05,0.0029433787749465565,0.67289265451026,0.0030986427738522995,0.14150858580764938,16,5,1,40,14580
Run_FL16_ISC5_RP0.2_coupling_CT_20_RP1_60_CT_energy_14580,Monomer_70pct_CT_0pct_RP1_0pct_CTRP1_30pct,time_resolved_Monomer_70pct_CT_0pct_RP1_0pct_CTRP1_30pct_start_time_0.0.npy,wavelength_resolved_Monomer_70pct_CT_0pct_RP1_0pct_CTRP1_30pct_start_time_0.0.npy,5.0923176729993765e-05,0.002936279739361305,0.6639239352982254,0.004165720707747322,0.14154200045377763,16,5,1,20,14580
Run_FL16_ISC5_RP0.2_coupling_CT_40_RP1_60_CT_energy_14580,Monomer_70pct_CT_0pct_RP1_0pct_CTRP1_30pct,time_resolved_Monomer_70pct_CT_0pct_RP1_0pct_CTRP1_30pct_start_time_0.0.npy,wavelength_resolved_Monomer_70pct_CT_0pct_RP1_0pct_CTRP1_30pct_start_time_0.0.npy,5.0923176729993765e-05,0.002936279739361305,0.6639239352982254,0.004165720707747322,0.14154200045377763,16,5,1,40,14580
Run_FL16_ISC5_RP0.2_coupling_CT_200_RP1_60_CT_energy_14580,Monomer_70pct_CT_0pct_RP1_0pct_CTRP1_30pct,time_resolved_Monomer_70pct_CT_0pct_RP1_0pct_CTRP1_30pct_start_time_0.0.npy,wavelength_resolved_Monomer_70pct_CT_0pct_RP1_0pct_CTRP1_30pct_start_time_0.0.npy,5.0923176729993765e-05,0.002936279739361305,0.6639239352982254,0.004165720707747322,0.14154200045377763,16,5,1,200,14580
Run_FL16_ISC5_RP1_coupling_CT_300_RP1_200_CT_energy_14580,Monomer_50pct_CT_30pct_RP1_0pct_CTRP1_20pct,time_resolved_Monomer_50pct_CT_30pct_RP1_0pct_CTRP1_20pct_start_time_0.0.npy,wavelength_resolved_Monomer_50pct_CT_30pct_RP1_0pct_CTRP1_20pct_start_time_0.0.npy,0.00019174427377143576,0.0029310788863588797,1.6440533713355894,0.0010746972915310897,0.14164721277445627,16,5,1,300,14580
Run_FL16_ISC5_RP0.8_coupling_CT_40_RP1_250_CT_energy_14580,Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct,time_resolved_Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct_start_time_0.0.npy,9.763176003586805e-05,0.00270496576976356,0.30282178513701835,0.0038533796377831133,0.14196219267540708,16,5,1,40,14580
Run_FL16_ISC5_RP2_coupling_CT_150_RP1_200_CT_energy_14580,Monomer_50pct_CT_30pct_RP1_0pct_CTRP1_20pct,time_resolved_Monomer_50pct_CT_30pct_RP1_0pct_CTRP1_20pct_start_time_0.0.npy,wavelength_resolved_Monomer_50pct_CT_30pct_RP1_0pct_CTRP1_20pct_start_time_0.0.npy,0.00027324144768226303,0.0025471871235262663,0.8714437839046203,0.001265684361513779,0.14197582092811514,16,5,1,150,14580
